Sentencia,Proceso,Expediente Tipo,Expediente NÃºmero,Magistrado(a) ponente,Sentencia Tipo,Fecha Sentencia,Año,SV-SPV,AV-APV
C-829-01,Demanda de inconstitucionalidad,D,3348,Rodrigo Escobar Gil,C,8/8/2001 0:00,2001,No,No
C-783-01,Demanda de inconstitucionalidad,D,3355,Eduardo Montealegre Lynett,C,7/25/2001 0:00,2001,No,No
C-863-01,Demanda de inconstitucionalidad,D,3358,Jaime Araujo RenterÃ­a,C,8/15/2001 0:00,2001,No,No
C-811-01,Demanda de inconstitucionalidad,D,3361,Alvaro Tafur Galvis,C,8/1/2001 0:00,2001,No,No
C-776-01,Demanda de inconstitucionalidad,D,3364,Alfredo BeltrÃ¡n Sierra,C,7/25/2001 0:00,2001,No,No
C-648-01,Demanda de inconstitucionalidad,D,3365,Marco Gerardo Monroy Cabra,C,6/20/2001 0:00,2001,No,No
C-777-01,Demanda de inconstitucionalidad,D,3366,Clara InÃ©s Vargas HernÃ¡ndez,C,7/25/2001 0:00,2001,No,No
C-830-01,Demanda de inconstitucionalidad,D,3368,Jaime Araujo RenterÃ­a,C,8/8/2001 0:00,2001,No,No
C-831-01,Demanda de inconstitucionalidad,D,3371,Alvaro Tafur Galvis,C,8/8/2001 0:00,2001,No,No
C-917-01,Demanda de inconstitucionalidad,D,3375,Alfredo BeltrÃ¡n Sierra,C,8/29/2001 0:00,2001,No,No
C-816-01,Demanda de inconstitucionalidad,D,3377,Alvaro Tafur Galvis,C,8/2/2001 0:00,2001,No,No
C-809-01,Demanda de inconstitucionalidad,D,3380,Clara InÃ©s Vargas HernÃ¡ndez,C,8/1/2001 0:00,2001,No,No
C-812-01,Demanda de inconstitucionalidad,D,3381,Manuel JosÃ© Cepeda Espinosa,C,8/1/2001 0:00,2001,No,No
C-839-01,Demanda de inconstitucionalidad,D,3387,Marco Gerardo Monroy Cabra,C,8/9/2001 0:00,2001,No,No
C-832-01,Demanda de inconstitucionalidad,D,3388,Rodrigo Escobar Gil,C,8/8/2001 0:00,2001,No,No
C-828-01,Demanda de inconstitucionalidad,D,3390,Jaime CÃ³rdoba TriviÃ±o,C,8/8/2001 0:00,2001,No,No
C-923-01,Demanda de inconstitucionalidad,D,3392,Jaime Araujo RenterÃ­a,C,8/29/2001 0:00,2001,No,No
C-1050-01,Demanda de inconstitucionalidad,D,3394,Manuel JosÃ© Cepeda Espinosa,C,10/4/2001 0:00,2001,No,No
C-833-01,Demanda de inconstitucionalidad,D,3396,Alfredo BeltrÃ¡n Sierra,C,8/8/2001 0:00,2001,No,No
C-813-01,Demanda de inconstitucionalidad,D,3397,Jaime Araujo RenterÃ­a,C,8/1/2001 0:00,2001,No,No
C-865-01,Demanda de inconstitucionalidad,D,3400,Eduardo Montealegre Lynett,C,8/15/2001 0:00,2001,No,No
C-866-01,Demanda de inconstitucionalidad,D,3401,Jaime CÃ³rdoba TriviÃ±o,C,8/15/2001 0:00,2001,No,No
C-867-01,Demanda de inconstitucionalidad,D,3402,Manuel JosÃ© Cepeda Espinosa,C,8/15/2001 0:00,2001,No,No
C-892-01,Demanda de inconstitucionalidad,D,3404,Rodrigo Escobar Gil,C,8/22/2001 0:00,2001,No,No
C-1068-01,Demanda de inconstitucionalidad,D,3406,Rodrigo Escobar Gil,C,10/10/2001 0:00,2001,No,No
C-1024-01,Demanda de inconstitucionalidad,D,3410,Alvaro Tafur Galvis,C,9/26/2001 0:00,2001,No,No
C-894-01,Demanda de inconstitucionalidad,D,3412,Alvaro Tafur Galvis,C,8/22/2001 0:00,2001,No,No
C-918-01,Demanda de inconstitucionalidad,D,3417,Jaime Araujo RenterÃ­a,C,8/29/2001 0:00,2001,No,No
C-869-01,Demanda de inconstitucionalidad,D,3419,Marco Gerardo Monroy Cabra,C,8/16/2001 0:00,2001,No,No
C-895-01,Demanda de inconstitucionalidad,D,3423,Clara InÃ©s Vargas HernÃ¡ndez,C,8/22/2001 0:00,2001,No,No
C-919-01,Demanda de inconstitucionalidad,D,3424,Jaime Araujo RenterÃ­a,C,8/29/2001 0:00,2001,No,No
C-897-01,Demanda de inconstitucionalidad,D,3426,Rodrigo Escobar Gil,C,8/22/2001 0:00,2001,No,No
C-920-01,Demanda de inconstitucionalidad,D,3427,Rodrigo Escobar Gil,C,8/29/2001 0:00,2001,No,No
C-921-01,Demanda de inconstitucionalidad,D,3428,Jaime Araujo RenterÃ­a,C,8/29/2001 0:00,2001,No,No
C-993-01,Demanda de inconstitucionalidad,D,3429,Clara InÃ©s Vargas HernÃ¡ndez,C,9/19/2001 0:00,2001,No,No
C-898-01,Demanda de inconstitucionalidad,D,3430,Manuel JosÃ© Cepeda Espinosa,C,8/22/2001 0:00,2001,No,No
C-922-01,Demanda de inconstitucionalidad,D,3434,Marco Gerardo Monroy Cabra,C,8/29/2001 0:00,2001,No,No
C-954-01,Demanda de inconstitucionalidad,D,3437,Jaime Araujo RenterÃ­a,C,9/6/2001 0:00,2001,No,No
C-955-01,Demanda de inconstitucionalidad,D,3438,Marco Gerardo Monroy Cabra,C,9/6/2001 0:00,2001,No,No
C-956-01,Demanda de inconstitucionalidad,D,3440,Eduardo Montealegre Lynett,C,9/6/2001 0:00,2001,No,No
C-1046-01,Demanda de inconstitucionalidad,D,3446,Eduardo Montealegre Lynett,C,10/4/2001 0:00,2001,No,No
C-994-01,Demanda de inconstitucionalidad,D,3452,Jaime Araujo RenterÃ­a,C,9/19/2001 0:00,2001,No,No
C-1025-01,Demanda de inconstitucionalidad,D,3453,Manuel JosÃ© Cepeda Espinosa,C,9/26/2001 0:00,2001,No,No
C-924-01,Demanda de inconstitucionalidad,D,3454,Jaime Araujo RenterÃ­a,C,8/29/2001 0:00,2001,No,No
